timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626845460508,10,HTTP Request,200,OK,Thread Group 1-1,text,true,,165,128,1,1,http://localhost:3000/health_check,10,0,2
1626845460519,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,191,121,1,1,http://localhost:3000/posts,17,0,0
1626845460547,7,HTTP Request,200,OK,Thread Group 1-2,text,true,,165,128,1,1,http://localhost:3000/health_check,7,0,1
1626845460555,7,HTTP Request,200,OK,Thread Group 1-2,text,true,,191,121,1,1,http://localhost:3000/posts,7,0,0
1626845460590,8,HTTP Request,200,OK,Thread Group 1-3,text,true,,165,128,1,1,http://localhost:3000/health_check,8,0,1
1626845460598,7,HTTP Request,200,OK,Thread Group 1-3,text,true,,191,121,1,1,http://localhost:3000/posts,7,0,0
1626845460628,10,HTTP Request,200,OK,Thread Group 1-4,text,true,,165,128,1,1,http://localhost:3000/health_check,10,0,1
1626845460638,8,HTTP Request,200,OK,Thread Group 1-4,text,true,,191,121,1,1,http://localhost:3000/posts,8,0,0
1626845460668,8,HTTP Request,200,OK,Thread Group 1-5,text,true,,165,128,1,1,http://localhost:3000/health_check,8,0,1
1626845460677,7,HTTP Request,200,OK,Thread Group 1-5,text,true,,191,121,1,1,http://localhost:3000/posts,7,0,0
1626845460708,6,HTTP Request,200,OK,Thread Group 1-6,text,true,,165,128,1,1,http://localhost:3000/health_check,6,0,1
1626845460715,5,HTTP Request,200,OK,Thread Group 1-6,text,true,,191,121,1,1,http://localhost:3000/posts,5,0,0
1626845460746,8,HTTP Request,200,OK,Thread Group 1-7,text,true,,165,128,1,1,http://localhost:3000/health_check,8,0,2
1626845460755,5,HTTP Request,200,OK,Thread Group 1-7,text,true,,191,121,1,1,http://localhost:3000/posts,5,0,0
1626845460789,18,HTTP Request,200,OK,Thread Group 1-8,text,true,,165,128,1,1,http://localhost:3000/health_check,18,0,3
1626845460808,15,HTTP Request,200,OK,Thread Group 1-8,text,true,,191,121,1,1,http://localhost:3000/posts,15,0,0
1626845460832,18,HTTP Request,200,OK,Thread Group 1-9,text,true,,165,128,1,1,http://localhost:3000/health_check,17,0,2
1626845460851,14,HTTP Request,200,OK,Thread Group 1-9,text,true,,191,121,1,1,http://localhost:3000/posts,13,0,0
1626845460869,21,HTTP Request,200,OK,Thread Group 1-10,text,true,,165,128,1,1,http://localhost:3000/health_check,21,0,3
1626845460891,12,HTTP Request,200,OK,Thread Group 1-10,text,true,,191,121,1,1,http://localhost:3000/posts,12,0,0
1626845460909,19,HTTP Request,200,OK,Thread Group 1-11,text,true,,165,128,1,1,http://localhost:3000/health_check,19,0,4
1626845460929,16,HTTP Request,200,OK,Thread Group 1-11,text,true,,191,121,1,1,http://localhost:3000/posts,16,0,0
1626845460950,16,HTTP Request,200,OK,Thread Group 1-12,text,true,,165,128,1,1,http://localhost:3000/health_check,16,0,3
1626845460967,13,HTTP Request,200,OK,Thread Group 1-12,text,true,,191,121,1,1,http://localhost:3000/posts,13,0,0
1626845460990,22,HTTP Request,200,OK,Thread Group 1-13,text,true,,165,128,1,1,http://localhost:3000/health_check,22,0,5
1626845461014,16,HTTP Request,200,OK,Thread Group 1-13,text,true,,191,121,2,2,http://localhost:3000/posts,16,0,0
1626845461032,25,HTTP Request,200,OK,Thread Group 1-14,text,true,,165,128,1,1,http://localhost:3000/health_check,25,0,4
1626845461058,23,HTTP Request,200,OK,Thread Group 1-14,text,true,,191,121,2,2,http://localhost:3000/posts,23,0,0
1626845461070,21,HTTP Request,200,OK,Thread Group 1-15,text,true,,165,128,1,1,http://localhost:3000/health_check,21,0,2
1626845461092,13,HTTP Request,200,OK,Thread Group 1-15,text,true,,191,121,2,2,http://localhost:3000/posts,13,0,0
1626845461107,8,HTTP Request,200,OK,Thread Group 1-16,text,true,,165,128,1,1,http://localhost:3000/health_check,8,0,2
1626845461115,5,HTTP Request,200,OK,Thread Group 1-16,text,true,,191,121,1,1,http://localhost:3000/posts,5,0,0
1626845461147,6,HTTP Request,200,OK,Thread Group 1-17,text,true,,165,128,1,1,http://localhost:3000/health_check,6,0,1
1626845461153,6,HTTP Request,200,OK,Thread Group 1-17,text,true,,191,121,1,1,http://localhost:3000/posts,6,0,0
1626845461188,17,HTTP Request,200,OK,Thread Group 1-18,text,true,,165,128,1,1,http://localhost:3000/health_check,16,0,3
1626845461206,14,HTTP Request,200,OK,Thread Group 1-18,text,true,,191,121,1,1,http://localhost:3000/posts,14,0,0
1626845461231,20,HTTP Request,200,OK,Thread Group 1-19,text,true,,165,128,1,1,http://localhost:3000/health_check,20,0,3
1626845461252,15,HTTP Request,200,OK,Thread Group 1-19,text,true,,191,121,1,1,http://localhost:3000/posts,14,0,0
1626845461270,20,HTTP Request,200,OK,Thread Group 1-20,text,true,,165,128,1,1,http://localhost:3000/health_check,20,0,4
1626845461291,19,HTTP Request,200,OK,Thread Group 1-20,text,true,,191,121,2,2,http://localhost:3000/posts,19,0,0
1626845461309,31,HTTP Request,200,OK,Thread Group 1-21,text,true,,165,128,1,1,http://localhost:3000/health_check,31,0,5
1626845461342,18,HTTP Request,200,OK,Thread Group 1-21,text,true,,191,121,2,2,http://localhost:3000/posts,18,0,0
1626845461350,35,HTTP Request,200,OK,Thread Group 1-22,text,true,,165,128,1,1,http://localhost:3000/health_check,35,0,3
1626845461391,48,HTTP Request,200,OK,Thread Group 1-23,text,true,,165,128,2,2,http://localhost:3000/health_check,48,0,8
1626845461386,53,HTTP Request,200,OK,Thread Group 1-22,text,true,,191,121,2,2,http://localhost:3000/posts,53,0,0
1626845461439,15,HTTP Request,200,OK,Thread Group 1-23,text,true,,191,121,2,2,http://localhost:3000/posts,15,0,0
